City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,alappuzha,9.49,76.3264,28.01,77,77,2.13,IN,1730346242
83,lompoc,34.6391,-120.4579,11.96,88,75,3.58,US,1730346354
84,port saint john's,-31.6229,29.5448,16.09,77,5,3.19,ZA,1730346354
85,saldanha,-33.0117,17.9442,14.03,75,25,4.85,ZA,1730346332
86,ceeldheer,3.8488,47.1806,27.05,77,71,3.67,SO,1730346354
87,road town,18.4167,-64.6167,25.23,79,100,7.03,VG,1730346354
88,winnemucca,40.973,-117.7357,7.03,39,100,5.14,US,1730346355
89,ushuaia,-54.8,-68.3,6.81,57,75,3.6,AR,1730346079
90,yellowknife,62.456,-114.3525,-9.71,79,100,2.57,CA,1730346355
91,alice springs,-23.7,133.8833,35.75,9,35,2.06,AU,1730346355
92,san patricio,28.017,-97.5169,25.97,84,1,5.17,US,1730346356
93,stanley,54.868,-1.6985,11.01,93,75,4.12,GB,1730346356
94,posto fiscal rolim de moura,-13.0833,-62.2667,24.31,73,54,0.63,BR,1730346356
95,kyzyl,51.7,94.45,1.32,42,86,0.23,RU,1730346356
96,afaahiti,-17.75,-149.2833,23.07,70,46,7.25,PF,1730346357
97,alotau,-10.3069,150.4462,28.44,64,100,2.41,PG,1730346357
98,kourou,5.1552,-52.6478,24.52,93,18,2.01,GF,1730346357
99,nikolayevsk-on-amure,53.1406,140.73,-0.79,61,44,5.42,RU,1730346358
100,longyearbyen,78.2186,15.6401,-7.09,68,40,3.6,SJ,1730346358
101,lospalos,-8.5186,127.0025,32.51,44,88,3.06,TL,1730346358
102,college,64.8569,-147.8028,-14.75,80,20,2.06,US,1730346358
103,kazanskoye,55.6448,69.235,-0.04,75,16,2.83,RU,1730346358
104,taulaga,-11.0553,-171.0883,27.89,78,39,4.87,AS,1730346359
105,glace bay,46.1969,-59.957,5.5,92,100,4.63,CA,1730346359
106,san antonio de pale,-1.4014,5.6325,25.55,82,76,3.34,GQ,1730346359
107,maintirano,-18.0667,44.0167,27.78,73,100,3.29,MG,1730346360
108,touros,-5.1989,-35.4608,24.97,79,58,5.55,BR,1730346360
109,sagaing,21.8787,95.9797,29.19,70,14,1.97,MM,1730346360
110,arraial do cabo,-22.9661,-42.0278,22.15,83,12,2.6,BR,1730346361
111,fort mcmurray,56.7268,-111.381,-3.23,80,100,2.06,CA,1730346361
112,avarua,-21.2078,-159.775,25.03,69,63,7.2,CK,1730346122
113,tangjiazhuang,39.7333,118.45,19.12,56,91,4.55,CN,1730346362
114,tolosa,43.6043,1.4437,13.99,94,20,1.03,FR,1730346361
115,mahina,-17.5065,-149.489,26.87,61,0,3.09,PF,1730346362
116,belmonte,-15.8631,-38.8828,22.55,90,96,1.29,BR,1730346362
117,mena,51.5217,32.2157,10.86,76,100,6.97,UA,1730346363
118,arcachon,44.5875,-1.0519,13.03,100,100,2.06,FR,1730346363
119,pala,9.3642,14.9046,20.59,29,1,1.94,TD,1730346363
120,el alto,-4.2714,-81.2147,17.32,81,55,6.41,PE,1730346363
121,chonchi,-42.6128,-73.8092,8.4,98,20,0.66,CL,1730346364
122,kone,-21.0595,164.8658,27.26,45,57,2.98,NC,1730346364
123,vila velha,-20.3297,-40.2925,21.97,94,100,5.14,BR,1730346177
124,angra do heroismo,38.65,-27.2167,19.34,88,75,5.34,PT,1730346364
125,mongu,-15.2484,23.1274,19.2,80,89,1.44,ZM,1730346365
126,ellsworth,44.5434,-68.4195,12.36,97,100,6.69,US,1730346365
127,mermoz boabab,14.7065,-17.4758,25.88,94,0,3.09,SN,1730346365
128,weno,7.4515,151.8468,31.97,74,100,2.06,FM,1730346365
129,wailua homesteads,22.0669,-159.378,25.44,86,20,7.72,US,1730346366
130,maicao,11.3832,-72.2432,25.16,90,95,0.86,CO,1730346366
131,enewetak,11.3474,162.3373,28.75,76,41,6.15,MH,1730346366
132,la passe,45.5549,-0.8967,14.3,85,0,4.04,FR,1730346368
133,kenai,60.5544,-151.2583,-2.97,80,0,2.06,US,1730346368
134,invercargill,-46.4,168.35,11.68,89,100,4.02,NZ,1730346369
135,taroa,8.7058,171.2275,28.52,75,42,4.11,MH,1730346369
136,isafjordur,66.0755,-23.124,-4.2,87,96,0.98,IS,1730346369
137,tura,25.5198,90.2201,28.25,62,24,1.68,IN,1730346369
138,salahonda,2.1019,-78.7217,25.71,83,100,4.8,CO,1730346370
139,labytnangi,66.6572,66.4183,-5.87,96,99,0.8,RU,1730346370
140,mikhaylovskaya,44.9947,40.5964,8.23,91,63,2.91,RU,1730346370
141,tiksi,71.6872,128.8694,-23.78,100,83,1.35,RU,1730346371
142,cabo san lucas,22.8909,-109.9124,27.17,69,0,2.57,MX,1730346139
143,leava,-14.3,-178.1667,27.72,74,8,2.91,WF,1730346371
144,loango,-4.6719,11.8312,25.81,78,75,2.57,CG,1730346372
145,ust-nera,64.5667,143.2,-18.42,96,98,1.6,RU,1730346372
146,hermanus,-34.4187,19.2345,14.33,81,3,4.25,ZA,1730346372
147,necochea,-38.5473,-58.7368,21.73,47,99,6.38,AR,1730346302
148,bredasdorp,-34.5322,20.0403,13.35,85,1,2.19,ZA,1730346373
149,guaruja,-23.9931,-46.2564,20.5,26,1,2.82,BR,1730346373
150,kingston,17.997,-76.7936,27.53,83,20,1.03,JM,1730346277
151,ta`u,-14.2336,-169.5144,27.34,79,69,3.96,AS,1730346374
152,villa gesell,-37.2639,-56.973,17.07,82,99,4.2,AR,1730346374
153,san juanito,28.0,-107.5833,6.03,88,1,2.67,MX,1730346374
154,uliastay,47.7417,96.8444,-4.51,50,55,1.26,MN,1730346374
155,sandnessjoen,66.0217,12.6316,4.94,57,100,6.3,NO,1730346375
156,barcelos,41.5388,-8.6151,16.18,73,94,3.39,PT,1730346128
157,margate,51.3813,1.3862,13.16,89,86,1.92,GB,1730346375
158,port mathurin,-19.6833,63.4167,23.05,67,29,7.11,MU,1730346376
159,boa vista,2.8197,-60.6733,29.99,62,0,2.06,BR,1730346215
160,carnarvon,-24.8667,113.6333,30.5,46,0,3.83,AU,1730346376
